#Type
otu_id	cluster	indicator_value	p_value	H1	H10	H27	H28	H29	H30	H31	H32	H33	H34	H4	H5	H50	H51	H52	H58	H6	H7	H8	H9	SubGmCP1	SubGmCP10	SubGmCP11	SubGmCP13	SubGmCP2	SubGmCP3	SubGmCP4	SubGmCP5	SubGmCP6	SubGmCP7	SubGmCP8	SubGmCP9	SubGR1	SubGR2	SubGR3	SubGR4	SubGR5	SubGR6	SubGR7	SubGR8	SubGsCP1	SubGsCP10	SubGsCP11	SubGsCP12	SubGsCP13	SubGsCP2	SubGsCP3	SubGsCP5	SubGsCP7	SubGsCP8	SubGsCP9
Xe4c957f81b07f80771236318a09b5043	Healthy	0.3500	0.009	0.0	0.0	35.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	16.0	0.0	0.0	173.0	0.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X5b2b49fd7ff17fc59521bccef9f2d9af	Healthy	0.3378	0.016	38.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	47.0	0.0	1.0	0.0	0.0	37.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xf51ea2068e46f1a738e062be968b97c9	Healthy	0.3062	0.042	0.0	141.0	34.0	52.0	5.0	0.0	33.0	118.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	11.0	27.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0
Xcd281e9ae525594490bc1f7bf5d6db2a	Healthy	0.3000	0.037	0.0	153.0	13.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	813.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xcd30c85dec7eff3cac398b1043e0b289	Healthy	0.3000	0.030	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	9.0	11.0	0.0	0.0	0.0	57.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X67b51ddd5e0e082c78f8cacc16347e14	Healthy	0.3000	0.009	0.0	21.0	7.0	0.0	7.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X3cdc61e1c7ea3e908723df054499354b	Healthy	0.3000	0.017	0.0	0.0	18.0	50.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X64e81c18b08ad572f51965b76e855636	Healthy	0.3000	0.023	5.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X5dd1dd2b9179dcc093da5513b178f264	Healthy	0.2841	0.031	0.0	5.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	27.0	5.0	0.0	0.0	0.0	14.0	13.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X9108a9a5de0330954d02614c17c4068f	Healthy	0.2795	0.039	0.0	0.0	20.0	42.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	6.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
