# Constructed from biom file
#OTU ID	H19	H20	H21	H22	H23	H24	H25	H26	H3	H43	H44	H45	H46	H47	H48	H49	H56	H57	H59	H60	TonguemCP1	TonguemCP10	TonguemCP11	TonguemCP12	TonguemCP13	TonguemCP2	TonguemCP3	TonguemCP4	TonguemCP5	TonguemCP6	TonguemCP7	TonguemCP8	TonguemCP9	TongueR1	TongueR2	TongueR3	TongueR4	TongueR5	TongueR6	TongueR7	TongueR8	TonguesCP1	TonguesCP11	TonguesCP12	TonguesCP13	TonguesCP2	TonguesCP3	TonguesCP5	TonguesCP6	TonguesCP7	TonguesCP8	TonguesCP9
d76c75daeea6be83e53b075cab89ddba	53.0	25.0	49.0	36.0	77.0	6.0	5.0	0.0	21.0	63.0	37.0	0.0	0.0	8.0	14.0	95.0	3.0	25.0	19.0	11.0	0.0	499.0	1.0	1.0	0.0	3.0	6.0	0.0	6.0	25.0	0.0	22.0	3.0	62.0	4.0	4.0	15.0	2.0	62.0	8.0	20.0	5.0	16.0	270.0	7.0	12.0	27.0	10.0	1.0	28.0	8.0	0.0
83f7b394c754eaaaa00229e4b472ce20	247.0	35.0	33.0	944.0	0.0	41.0	865.0	337.0	35.0	194.0	0.0	726.0	97.0	314.0	48.0	2.0	173.0	347.0	221.0	155.0	402.0	0.0	698.0	10.0	193.0	2468.0	1099.0	60.0	1074.0	778.0	990.0	534.0	1423.0	191.0	36.0	107.0	56.0	257.0	778.0	1046.0	167.0	2607.0	277.0	0.0	452.0	0.0	97.0	70.0	253.0	237.0	27.0	594.0
d8c7106106e1b46a1d15c1781d12441e	1356.0	98.0	1636.0	264.0	320.0	164.0	326.0	392.0	223.0	400.0	249.0	284.0	356.0	386.0	222.0	1543.0	1002.0	781.0	852.0	114.0	246.0	19.0	300.0	96.0	357.0	44.0	461.0	59.0	190.0	177.0	88.0	310.0	222.0	365.0	109.0	446.0	80.0	295.0	339.0	241.0	583.0	267.0	92.0	1992.0	402.0	20.0	1623.0	151.0	290.0	87.0	28.0	233.0
0b3115b7ebb5fbca104857e95986ff73	0.0	11.0	0.0	5.0	35.0	0.0	0.0	8.0	19.0	6.0	24.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	101.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	52.0	6.0	5.0	0.0	10.0	2.0	5.0	7.0	2.0	13.0	200.0	0.0	0.0	6.0	0.0	3.0	5.0	8.0	3.0
d739dc04ee8c381d5aa7a9b725b8debf	0.0	0.0	0.0	0.0	0.0	0.0	694.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	147.0	0.0	12.0	24.0	135.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	1196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0
f90460cf1721146f822786702bfdf81f	178.0	127.0	504.0	345.0	192.0	27.0	226.0	251.0	385.0	340.0	554.0	128.0	188.0	634.0	455.0	559.0	290.0	874.0	718.0	110.0	308.0	17.0	341.0	2.0	14.0	139.0	404.0	198.0	494.0	301.0	63.0	586.0	104.0	235.0	30.0	412.0	138.0	89.0	314.0	286.0	36.0	396.0	126.0	1739.0	146.0	285.0	1248.0	47.0	316.0	119.0	151.0	287.0
71f75fea05ad44dba94dd48c806893fc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	1.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
ad73e70a7522b848a83bb732a72dd4be	0.0	704.0	0.0	0.0	0.0	0.0	10.0	249.0	0.0	0.0	0.0	37.0	40.0	0.0	0.0	0.0	215.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198.0	0.0	0.0	527.0	3726.0	18.0	0.0	0.0	0.0	28.0	0.0	0.0	2346.0	0.0	0.0	0.0	0.0	0.0	1449.0	0.0	0.0	2.0	0.0	0.0	0.0	2122.0
f84348c5553d9d44e95252418471bc42	204.0	307.0	138.0	1460.0	96.0	211.0	473.0	241.0	621.0	490.0	0.0	128.0	60.0	414.0	261.0	157.0	186.0	474.0	114.0	24.0	481.0	0.0	207.0	0.0	0.0	34.0	51.0	1082.0	781.0	696.0	179.0	27.0	93.0	571.0	382.0	1758.0	515.0	425.0	0.0	471.0	831.0	0.0	685.0	0.0	954.0	222.0	28.0	196.0	499.0	50.0	65.0	0.0
879c4a99c6953c8e8a001166372d0205	7.0	21.0	19.0	21.0	133.0	0.0	0.0	28.0	41.0	0.0	39.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	198.0	3.0	1359.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
d261a0afa301ad8913ec8eb14cc1809b	0.0	21.0	13.0	0.0	152.0	0.0	35.0	30.0	0.0	5.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	96.0	11.0	59.0	156.0	0.0	267.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	19.0	8.0	0.0	0.0	56.0	9.0	0.0	159.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
